City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
38,papatowai,-46.5619,169.4708,62.19,53,90,5.59,NZ,1706389883
39,labrador city,52.9463,-66.9114,22.91,86,100,16.11,CA,1706389884
40,edinburgh of the seven seas,-37.0676,-12.3116,59.25,72,50,24.29,SH,1706389884
41,eregli,37.5133,34.0467,30.11,69,100,3.27,TR,1706389682
42,ilulissat,69.2167,-51.1,-7.58,59,52,8.05,GL,1706389884
43,tughyl,47.7252,84.2063,-0.89,98,20,2.21,KZ,1706389884
44,manokwari,-0.8667,134.0833,76.66,83,100,6.17,ID,1706389885
45,ribeira grande,38.5167,-28.7,58.77,77,40,12.66,PT,1706389885
46,lebu,-37.6167,-73.65,63.66,76,2,18.14,CL,1706389885
47,puerto natales,-51.7236,-72.4875,61.25,41,75,33.38,CL,1706389886
48,priargunsk,50.3691,119.1012,-11.69,99,99,4.94,RU,1706389886
49,leava,-14.3,-178.1667,82.85,78,97,7.36,WF,1706389886
50,n'dalatando,-9.2978,14.9116,69.98,97,72,2.64,AO,1706389886
51,tsiombe,-25.3,45.4833,74.39,85,27,13.85,MG,1706389886
52,thompson,55.7435,-97.8558,20.37,94,100,5.82,CA,1706389887
53,gamba,-2.65,10.0,79.84,86,86,5.3,GA,1706389687
54,lompoc,34.6391,-120.4579,77.77,50,0,9.22,US,1706389887
55,queenstown,-31.8976,26.8753,65.93,86,65,1.14,ZA,1706389887
56,oakdale,44.963,-92.9649,34.16,89,100,8.05,US,1706389854
57,keflavik,64.0049,-22.5624,25.23,100,75,12.66,IS,1706389888
58,fale old settlement,-9.3852,-171.2468,84.96,70,94,7.47,TK,1706389888
59,mareeba,-17.0,145.4333,77.72,91,98,3.8,AU,1706389888
60,yellowknife,62.456,-114.3525,1.42,96,100,10.36,CA,1706389614
61,cabo san lucas,22.8909,-109.9124,85.6,44,0,11.5,MX,1706389767
62,selfoss,63.9331,-20.9971,32.04,77,100,18.86,IS,1706389889
63,yichun,47.7,128.9,-11.42,100,98,1.12,CN,1706389889
64,albany,42.6001,-73.9662,40.64,78,100,1.43,US,1706389889
65,ust-nera,64.5667,143.2,-47.0,100,68,4.61,RU,1706389889
66,constitucion,-35.3333,-72.4167,69.78,65,45,13.85,CL,1706389890
67,vila franca do campo,37.7167,-25.4333,64.89,99,100,8.41,PT,1706389890
68,west island,-12.1568,96.8225,76.98,94,75,8.05,CC,1706389890
69,laghouat,33.8,2.8651,59.95,23,0,3.96,DZ,1706389890
70,dwarka,22.2394,68.9678,69.8,56,7,6.67,IN,1706389890
71,port mathurin,-19.6833,63.4167,82.08,83,100,18.03,MU,1706389890
72,rahimah,26.7079,50.0619,61.02,72,100,9.62,SA,1706389891
73,cole harbour,44.6724,-63.4751,32.97,92,100,3.0,CA,1706389891
74,shira,54.4911,89.9531,-8.46,92,87,3.36,RU,1706389891
75,yangiobod,41.1192,70.0941,36.73,68,100,4.9,UZ,1706389891
76,alofi,-19.0595,-169.9187,80.49,83,100,17.94,NU,1706389892
77,harstad,68.799,16.5293,34.99,95,100,32.01,NO,1706389892
78,hawaiian paradise park,19.5933,-154.9731,82.04,71,0,6.91,US,1706389892
79,puerto montt,-41.4698,-72.9447,68.83,56,20,13.8,CL,1706389892
80,yigo village,13.5361,144.8886,77.29,84,100,19.57,GU,1706389892
81,polewali,-3.4324,119.3435,76.78,88,97,3.04,ID,1706389892
82,anadyr,64.75,177.4833,-25.1,75,20,11.18,RU,1706389893
83,palikir - national government center,6.9248,158.1611,79.54,83,100,4.61,FM,1706389893
84,khandyga,62.6667,135.6,-38.67,98,41,1.5,RU,1706389893
85,tiksi,71.6872,128.8694,-11.56,85,90,12.73,RU,1706389893
